Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
Rename ExpenditureItem => BarangayExpenditureItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/217	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Update builders that deal with NumericFormatValidator	https://github.com/cgob-mitd-dev/egov-bebs/issues/240	KarstnAncheta	8	Archived - Old	Sep 26, 2023	Sep 26, 2023	sk module	P2	backend, enhancement
Add NumericFormatValidator	https://github.com/cgob-mitd-dev/egov-bebs/issues/234	KarstnAncheta	4	Archived - Old	Sep 26, 2023	Sep 26, 2023	sk module	P2	backend, enhancement
Rename ProcurementItem => BarangayProcurementItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/215	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Rename Procurement => BarangayProcurement	https://github.com/cgob-mitd-dev/egov-bebs/issues/214	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Rename ExpenditureClass => BarangayExpenditureClass	https://github.com/cgob-mitd-dev/egov-bebs/issues/218	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Update Reference APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/137	KarstnAncheta	2	Archived - Old	Jul 13, 2023	Jul 13, 2023	miscellaneous tasks	P1	backend
Rename Personnel => BarangayPersonnel	https://github.com/cgob-mitd-dev/egov-bebs/issues/213	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Manually Test APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/200	KarstnAncheta	4	Archived - Old	Sep 8, 2023	Sep 8, 2023	mvp	P2	backend
Rename Reference => AipReference	https://github.com/cgob-mitd-dev/egov-bebs/issues/210	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Rename PersonnelSchedule => BarangayPersonnelSchedule	https://github.com/cgob-mitd-dev/egov-bebs/issues/212	KarstnAncheta	2	Archived - Old	Sep 18, 2023	Sep 18, 2023	sk module	P2	backend, enhancement
Update Ppa Modal to make it more reusable	https://github.com/cgob-mitd-dev/egov-bebs/issues/221	KarstnAncheta	4	Archived - Old	Sep 10, 2023	Sep 10, 2023	miscellaneous tasks	P1	enhancement, frontend
Add SK-related positions	https://github.com/cgob-mitd-dev/egov-bebs/issues/230	KarstnAncheta	0.5	Archived - Old	Sep 10, 2023	Sep 10, 2023	sk module	P2	backend
Remove ability to set payment errors in Form 4 for unauthorized users	https://github.com/cgob-mitd-dev/egov-bebs/issues/209	KarstnAncheta	0.5	Archived - Old	Sep 8, 2023	Sep 8, 2023	miscellaneous tasks	P3	bug, enhancement, frontend
Rename DebtsItem to DebtItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/191	KarstnAncheta	4	Archived - Old	Sep 7, 2023	Sep 7, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
Fix page reload after updating checklist status	https://github.com/cgob-mitd-dev/egov-bebs/issues/195	KarstnAncheta	1	Archived - Old	Sep 7, 2023	Sep 8, 2023	miscellaneous tasks	P3	enhancement, frontend
Rename "Debts" to "Debt"	https://github.com/cgob-mitd-dev/egov-bebs/issues/190	KarstnAncheta	4	Archived - Old	Sep 7, 2023	Sep 7, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
Optimize ReferenceController@destroyReference	https://github.com/cgob-mitd-dev/egov-bebs/issues/206	KarstnAncheta	0.5	Archived - Old	Sep 10, 2023	Sep 10, 2023	miscellaneous tasks	P3	backend, enhancement
Optimize PpaController@destroyPpa	https://github.com/cgob-mitd-dev/egov-bebs/issues/207	KarstnAncheta	0.5	Archived - Old	Sep 10, 2023	Sep 10, 2023	miscellaneous tasks	P3	backend, enhancement
Fix skeleton loading for project details modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/197	KarstnAncheta	2	Archived - Old	Sep 4, 2023	Sep 4, 2023	miscellaneous tasks	P3	enhancement, frontend
Deployment error	https://github.com/cgob-mitd-dev/egov-bebs/issues/168		8	Archived - Old	Jul 25, 2023	Jul 25, 2023	miscellaneous tasks	P0	bug
Add "error flagging" feature	https://github.com/cgob-mitd-dev/egov-bebs/issues/189	KarstnAncheta	40	Archived - Old	Sep 1, 2023	Sep 7, 2023	miscellaneous tasks	P1	backend, enhancement, frontend
Remove ability to set debt item errors in Form 4 for unauthorized users	https://github.com/cgob-mitd-dev/egov-bebs/issues/208	KarstnAncheta	0.5	Archived - Old	Sep 8, 2023	Sep 8, 2023	miscellaneous tasks	P3	bug, enhancement, frontend
Enforce ESLint standards on Admin Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/164	KarstnAncheta	8	Archived - Old	Jul 15, 2023	Jul 15, 2023	miscellaneous tasks	P3	enhancement, frontend
Fix: Optimize and refactor code	https://github.com/cgob-mitd-dev/egov-bebs/issues/166	KarstnAncheta	16	Archived - Old	Jul 17, 2023	Jul 24, 2023	miscellaneous tasks	P3	backend, bug, enhancement, frontend
Fix Control Values Bug	https://github.com/cgob-mitd-dev/egov-bebs/issues/153	KarstnAncheta	16	Archived - Old	Jul 11, 2023	Jul 11, 2023	miscellaneous tasks	P1	backend, bug, frontend
Update CreateApprovalModal.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/148	KarstnAncheta	2	Archived - Old	Jul 11, 2023	Jul 11, 2023	miscellaneous tasks	P3	enhancement, frontend
Update ProcurementItem APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/140	KarstnAncheta	2	Archived - Old	Jul 13, 2023	Jul 13, 2023	miscellaneous tasks	P1	backend
Update Expenditure Item Modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/130	KarstnAncheta	2	Archived - Old	Jul 11, 2023	Jul 11, 2023	miscellaneous tasks	P3	enhancement, frontend
